timestamp,eventType,mazeNumber,attemptNumber,collectedCoins,totalCoins,totalScore,mazeElapsedTime,totalGameElapsedTime,headPositionX,headPositionY,headPositionZ,headRotationX,headRotationY,headRotationZ,playerPositionX,playerPositionY,playerPositionZ,playerRotationY,rightThumbstickX,rightThumbstickY,rightTrigger,leftThumbstickX,leftThumbstickY,leftTrigger
33.357708,DATA,1,1,0,10,0,17.7155476,17.7155476,-7.282837,1.35815907,-8.455757,3.81143641,-24.49057,-0.7897339,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.4176826,DATA,1,1,0,10,0,17.7755222,17.7755222,-7.284602,1.35898924,-8.455032,4.90057945,-24.4057312,0.09794517,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.4767342,DATA,1,1,0,10,0,17.8345737,17.8345737,-7.284851,1.357749,-8.456277,3.92967415,-24.07788,0.8789926,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.54112,DATA,1,1,0,10,0,17.8989582,17.8989582,-7.284354,1.358036,-8.455455,4.33448267,-24.1948547,0.292747557,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5993843,DATA,1,1,0,10,0,17.9572239,17.9572239,-7.28434134,1.35807323,-8.455204,4.38347673,-24.2278748,0.3322586,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.6648827,DATA,1,1,0,10,0,18.0227222,18.0227222,-7.284408,1.35780787,-8.455289,4.18667126,-24.21054,0.556331038,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.72309,DATA,1,1,0,10,0,18.08093,18.08093,-7.284578,1.35793889,-8.455113,4.336862,-24.17749,0.520071268,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.7805252,DATA,1,1,0,10,0,18.1383648,18.1383648,-7.28440762,1.35784626,-8.455376,4.17795563,-24.2032776,0.549670756,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.840847,DATA,1,1,0,10,0,18.1986866,18.1986866,-7.28441954,1.35792708,-8.455226,4.304262,-24.2302246,0.459520578,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.8979874,DATA,1,1,0,10,0,18.255827,18.255827,-7.28453732,1.35788417,-8.455246,4.209922,-24.1611938,0.609692633,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.95442,DATA,1,1,0,10,0,18.3122578,18.3122578,-7.284474,1.35791647,-8.455241,4.2571187,-24.2099915,0.5140076,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0103531,DATA,1,1,0,10,0,18.3681927,18.3681927,-7.28442764,1.35778165,-8.455405,4.22822237,-24.2086487,0.536414862,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0684624,DATA,1,1,0,10,0,18.426302,18.426302,-7.28442669,1.35773921,-8.455333,4.22565746,-24.19342,0.5420746,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.12464,DATA,1,1,0,10,0,18.482481,18.482481,-7.284476,1.35775113,-8.455371,4.228092,-24.1906433,0.5938934,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.18358,DATA,1,1,0,10,0,18.5414181,18.5414181,-7.284329,1.35776651,-8.455243,4.225078,-24.2145386,0.504908562,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.2386436,DATA,1,1,0,10,0,18.5964832,18.5964832,-7.284425,1.35772765,-8.455296,4.22692537,-24.202179,0.5551751,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.3034859,DATA,1,1,0,10,0,18.6613255,18.6613255,-7.2844,1.35768807,-8.455285,4.20870161,-24.1959534,0.588196933,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.35839,DATA,1,1,0,10,0,18.71623,18.71623,-7.284365,1.35765564,-8.455338,4.21646166,-24.2266846,0.517082036,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.413887,DATA,1,1,0,10,0,18.7717266,18.7717266,-7.28445148,1.35761571,-8.455402,4.20792246,-24.1942139,0.621151268,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4697762,DATA,1,1,0,10,0,18.8276157,18.8276157,-7.284396,1.35761631,-8.455285,4.21822262,-24.20935,0.536662161,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.52513,DATA,1,1,0,10,0,18.88297,18.88297,-7.28443575,1.35761333,-8.455332,4.193776,-24.19809,0.6055726,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.58152,DATA,1,1,0,10,0,18.93936,18.93936,-7.28441572,1.35760856,-8.455184,4.21075344,-24.2081,0.5583332,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.6364746,DATA,1,1,0,10,0,18.9943142,18.9943142,-7.2845397,1.35744047,-8.455479,4.19859457,-24.1950684,0.605596542,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.6928368,DATA,1,1,0,10,0,19.0506763,19.0506763,-7.284546,1.35739768,-8.455353,4.203252,-24.20401,0.5803657,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.7475128,DATA,1,1,0,10,0,19.1053524,19.1053524,-7.284519,1.357484,-8.45554352,4.18819,-24.20758,0.5777149,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.80307,DATA,1,1,0,10,0,19.16091,19.16091,-7.28457928,1.3574667,-8.455452,4.187926,-24.2001648,0.612511,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.8607635,DATA,1,1,0,10,0,19.2186031,19.2186031,-7.28455734,1.35744452,-8.4555,4.18904066,-24.2147522,0.5714507,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.9153557,DATA,1,1,0,10,0,19.2731953,19.2731953,-7.284615,1.35741758,-8.455414,4.18976164,-24.2052612,0.605622768,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.97001,DATA,1,1,0,10,0,19.3278484,19.3278484,-7.28452969,1.35737777,-8.455547,4.186628,-24.20752,0.589452,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
